province_name,district_name,hospital_code,hospital_name,hospital_type,masks,encounters,answered,citizens,matched,unmatched,match_rate_pct
พิษณุโลก,บางระกำ,11252,โรงพยาบาลบางระกำ,โรงพยาบาลชุมชน,39,39,0,12,39,0,100.0
พิษณุโลก,เมืองพิษณุโลก,77750,ศูนย์สุขภาพชุมชนเมืองเขื่อนขันธ์,ศูนย์สุขภาพชุมชน ของ รพ. / เมือง (ศสม.),29,29,0,14,29,0,100.0
พิษณุโลก,เมืองพิษณุโลก,07495,โรงพยาบาลส่งเสริมสุขภาพตำบลบึงพระ,โรงพยาบาลส่งเสริมสุขภาพตำบล,28,28,0,16,28,0,100.0
พิษณุโลก,เมืองพิษณุโลก,10676,โรงพยาบาลพุทธชินราช,โรงพยาบาลศูนย์,28,28,0,23,28,0,100.0
พิษณุโลก,เมืองพิษณุโลก,07490,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกร่าง,โรงพยาบาลส่งเสริมสุขภาพตำบล,27,27,0,10,27,0,100.0
พิษณุโลก,เมืองพิษณุโลก,07491,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคลอง,โรงพยาบาลส่งเสริมสุขภาพตำบล,26,24,0,11,26,0,100.0
พิษณุโลก,บางระกำ,07536,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านชุมแสง,ศูนย์บริการสาธารณสุข อปท.,26,26,0,1,26,0,100.0
พิษณุโลก,บางกระทุ่ม,07550,โรงพยาบาลส่งเสริมสุขภาพตำบลนครป่าหมาก,โรงพยาบาลส่งเสริมสุขภาพตำบล,26,26,0,2,26,0,100.0
พิษณุโลก,เมืองพิษณุโลก,07478,โรงพยาบาลส่งเสริมสุขภาพตำบลวัดจันทร์,โรงพยาบาลส่งเสริมสุขภาพตำบล,21,21,0,15,21,0,100.0
พิษณุโลก,เมืองพิษณุโลก,77610,ศูนย์สุขภาพเมืองพิษณุโลก,ศูนย์สุขภาพชุมชน ของ รพ. / เมือง (ศสม.),20,20,0,16,20,0,100.0
พิษณุโลก,บางกระทุ่ม,07552,โรงพยาบาลส่งเสริมสุขภาพตำบลเนินกุ่ม,โรงพยาบาลส่งเสริมสุขภาพตำบล,19,19,0,2,19,0,100.0
พิษณุโลก,เมืองพิษณุโลก,07492,โรงพยาบาลส่งเสริมสุขภาพตำบลพลายชุมพล,ศูนย์บริการสาธารณสุข อปท.,17,17,0,14,17,0,100.0
พิษณุโลก,วังทอง,77747,ศูนย์สุขภาพชุมชนร่วมใจ,ศูนย์สุขภาพชุมชน ของ รพ. / เมือง (ศสม.),16,16,0,2,16,0,100.0
พิษณุโลก,บางระกำ,07528,โรงพยาบาลส่งเสริมสุขภาพตำบลพันเสา,โรงพยาบาลส่งเสริมสุขภาพตำบล,15,15,0,2,15,0,100.0
พิษณุโลก,วัดโบสถ์,07571,โรงพยาบาลส่งเสริมสุขภาพตำบลท้อแท้,โรงพยาบาลส่งเสริมสุขภาพตำบล,15,15,15,1,15,0,100.0
พิษณุโลก,บางระกำ,07537,โรงพยาบาลส่งเสริมสุขภาพตำบลชุมแสงสงคราม,โรงพยาบาลส่งเสริมสุขภาพตำบล,12,12,0,2,12,0,100.0
พิษณุโลก,วังทอง,07584,สถานีอนามัยเฉลิมพระเกียรติ 60 พรรษา นวมินทราชินี บ้านกลาง,โรงพยาบาลส่งเสริมสุขภาพตำบล,9,9,0,3,9,0,100.0
พิษณุโลก,บางกระทุ่ม,07547,โรงพยาบาลส่งเสริมสุขภาพตำบลสนามคลี,โรงพยาบาลส่งเสริมสุขภาพตำบล,8,8,0,1,8,0,100.0
พิษณุโลก,วัดโบสถ์,07572,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท้อแท้,โรงพยาบาลส่งเสริมสุขภาพตำบล,8,8,8,2,8,0,100.0
พิษณุโลก,วังทอง,07582,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านวังน้ำใส,โรงพยาบาลส่งเสริมสุขภาพตำบล,8,8,0,3,8,0,100.0
พิษณุโลก,เนินมะปราง,07602,โรงพยาบาลส่งเสริมสุขภาพตำบลไทรย้อย,โรงพยาบาลส่งเสริมสุขภาพตำบล,8,8,0,2,8,0,100.0
พิษณุโลก,วังทอง,11256,โรงพยาบาลวังทอง,โรงพยาบาลชุมชน,8,8,0,5,8,0,100.0
พิษณุโลก,บางระกำ,07531,โรงพยาบาลส่งเสริมสุขภาพตำบลบึงกอก,โรงพยาบาลส่งเสริมสุขภาพตำบล,7,7,0,2,7,0,100.0
พิษณุโลก,วังทอง,07587,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดงพลวง,โรงพยาบาลส่งเสริมสุขภาพตำบล,7,7,7,1,7,0,100.0
พิษณุโลก,เนินมะปราง,07598,โรงพยาบาลส่งเสริมสุขภาพตำบลชมพู,ศูนย์บริการสาธารณสุข อปท.,7,7,0,1,7,0,100.0
พิษณุโลก,บางระกำ,07532,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองกุลา,ศูนย์บริการสาธารณสุข อปท.,6,6,0,2,6,0,100.0
พิษณุโลก,พรหมพิราม,07555,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาขุม,โรงพยาบาลส่งเสริมสุขภาพตำบล,6,6,0,1,6,0,100.0
พิษณุโลก,นครไทย,11455,โรงพยาบาลสมเด็จพระยุพราชนครไทย,โรงพยาบาลชุมชน,6,6,0,5,6,0,100.0
พิษณุโลก,ชาติตระการ,07516,โรงพยาบาลส่งเสริมสุขภาพตำบลชาติตระการ,ศูนย์บริการสาธารณสุข อปท.,4,4,0,1,4,0,100.0
พิษณุโลก,วัดโบสถ์,07570,โรงพยาบาลส่งเสริมสุขภาพตำบลท่างาม,โรงพยาบาลส่งเสริมสุขภาพตำบล,4,4,0,1,4,0,100.0
พิษณุโลก,บางกระทุ่ม,11253,โรงพยาบาลบางกระทุ่ม,โรงพยาบาลชุมชน,4,4,1,4,4,0,100.0
พิษณุโลก,วัดโบสถ์,11255,โรงพยาบาลวัดโบสถ์,โรงพยาบาลชุมชน,4,4,0,4,4,0,100.0
พิษณุโลก,นครไทย,07498,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองกะท้าว,โรงพยาบาลส่งเสริมสุขภาพตำบล,3,3,0,1,3,0,100.0
พิษณุโลก,นครไทย,07515,โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยเฮี้ย,ศูนย์บริการสาธารณสุข อปท.,3,3,1,1,3,0,100.0
พิษณุโลก,วัดโบสถ์,07576,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าขอนเบน,โรงพยาบาลส่งเสริมสุขภาพตำบล,3,3,0,1,3,0,100.0
พิษณุโลก,วังทอง,07588,โรงพยาบาลส่งเสริมสุขภาพตำบลแก่งโสภา,โรงพยาบาลส่งเสริมสุขภาพตำบล,3,3,3,1,3,0,100.0
พิษณุโลก,วังทอง,07591,โรงพยาบาลส่งเสริมสุขภาพตำบลวังนกแอ่น,โรงพยาบาลส่งเสริมสุขภาพตำบล,3,3,0,1,3,0,100.0
พิษณุโลก,เนินมะปราง,07605,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโปร่งไผ่,โรงพยาบาลส่งเสริมสุขภาพตำบล,3,3,0,1,3,0,100.0
พิษณุโลก,เนินมะปราง,07607,โรงพยาบาลส่งเสริมสุขภาพตำบลวังยาง,โรงพยาบาลส่งเสริมสุขภาพตำบล,3,3,0,1,3,0,100.0
พิษณุโลก,บางระกำ,14056,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแหลมมะค่า,โรงพยาบาลส่งเสริมสุขภาพตำบล,3,3,0,1,3,0,100.0
พิษณุโลก,เมืองพิษณุโลก,07476,โรงพยาบาลส่งเสริมสุขภาพตำบลวังน้ำคู้,โรงพยาบาลส่งเสริมสุขภาพตำบล,2,2,0,1,2,0,100.0
พิษณุโลก,เมืองพิษณุโลก,07487,โรงพยาบาลส่งเสริมสุขภาพตำบลหัวรอ,โรงพยาบาลส่งเสริมสุขภาพตำบล,2,2,0,2,2,0,100.0
พิษณุโลก,เมืองพิษณุโลก,07496,โรงพยาบาลส่งเสริมสุขภาพตำบลไผ่ขอดอน,โรงพยาบาลส่งเสริมสุขภาพตำบล,2,2,0,1,2,0,100.0
พิษณุโลก,บางระกำ,07535,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองไผ่,โรงพยาบาลส่งเสริมสุขภาพตำบล,2,2,2,1,2,0,100.0
พิษณุโลก,วังทอง,07581,โรงพยาบาลส่งเสริมสุขภาพตำบลแม่ระกา,โรงพยาบาลส่งเสริมสุขภาพตำบล,2,2,0,1,2,0,100.0
พิษณุโลก,วังทอง,07594,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองพระ,โรงพยาบาลส่งเสริมสุขภาพตำบล,2,2,2,1,2,0,100.0
พิษณุโลก,ชาติตระการ,10612,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านน้ำจวง,โรงพยาบาลส่งเสริมสุขภาพตำบล,2,2,0,1,2,0,100.0
พิษณุโลก,พรหมพิราม,11254,โรงพยาบาลพรหมพิราม,โรงพยาบาลชุมชน,2,2,0,1,2,0,100.0
พิษณุโลก,เมืองพิษณุโลก,11797,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสระโคล่,โรงพยาบาลส่งเสริมสุขภาพตำบล,2,2,0,2,2,0,100.0
พิษณุโลก,เมืองพิษณุโลก,14662,โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่ 2,ศูนย์บริการสาธารณสุข,2,2,2,2,2,0,100.0
พิษณุโลก,เมืองพิษณุโลก,07485,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านป่า,ศูนย์บริการสาธารณสุข อปท.,1,1,0,1,1,0,100.0
พิษณุโลก,เมืองพิษณุโลก,07489,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านจอมทอง,โรงพยาบาลส่งเสริมสุขภาพตำบล,1,1,0,1,1,0,100.0
พิษณุโลก,บางระกำ,07526,โรงพยาบาลส่งเสริมสุขภาพตำบลปลักแรด,โรงพยาบาลส่งเสริมสุขภาพตำบล,1,1,0,1,1,0,100.0
พิษณุโลก,บางกระทุ่ม,07553,โรงพยาบาลส่งเสริมสุขภาพตำบลวัดตายม,โรงพยาบาลส่งเสริมสุขภาพตำบล,1,1,0,1,1,0,100.0
พิษณุโลก,พรหมพิราม,07554,โรงพยาบาลส่งเสริมสุขภาพตำบลท่าช้าง,โรงพยาบาลส่งเสริมสุขภาพตำบล,1,1,0,1,1,0,100.0
พิษณุโลก,วังทอง,07580,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสุพรรณพนมทอง,โรงพยาบาลส่งเสริมสุขภาพตำบล,1,1,0,1,1,0,100.0
พิษณุโลก,วังทอง,07593,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านไผ่ใหญ่,โรงพยาบาลส่งเสริมสุขภาพตำบล,1,1,0,1,1,0,100.0
พิษณุโลก,วังทอง,07595,โรงพยาบาลส่งเสริมสุขภาพตำบลชัยนาม,โรงพยาบาลส่งเสริมสุขภาพตำบล,1,1,0,1,1,0,100.0
พิษณุโลก,เนินมะปราง,11257,โรงพยาบาลเนินมะปราง,โรงพยาบาลชุมชน,1,1,0,1,1,0,100.0
พิษณุโลก,เมืองพิษณุโลก,11798,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแหลมโพธิ์,ศูนย์บริการสาธารณสุข อปท.,1,1,0,1,1,0,100.0
